user_id,topic_id,was_interaction,predict_proba
400038,1061,0.0,0.4787234663963318
400038,1060,0.0,0.495972216129303
400038,1062,0.0,0.4984493851661682
400038,1059,0.0,0.4947301149368286
400038,1063,0.0,0.4776293933391571
400038,974,0.0,0.4996396601200104
400038,1018,0.0,0.5082587003707886
400038,2023,0.0,0.4775313436985016
400038,958,0.0,0.49979326128959656
400038,997,0.0,0.49492526054382324
400038,1036,0.0,0.4920204281806946
400038,973,0.0,0.4945535361766815
400038,1010,0.0,0.5101867318153381
400038,1046,0.0,0.4806329905986786
400038,3112,0.0,0.4775319993495941
400038,972,0.0,0.48486328125
400038,978,0.0,0.4913817048072815
400038,1051,0.0,0.4841485321521759
400038,971,0.0,0.47893545031547546
400038,1007,0.0,0.5023806095123291
400038,1001,0.0,0.48062655329704285
400038,3,0.0,0.47921299934387207
400038,1031,0.0,0.48694097995758057
400038,952,0.0,0.4948953092098236
400038,3247,0.0,0.48725005984306335
400038,951,0.0,0.47177571058273315
400038,964,0.0,0.49805814027786255
400038,987,0.0,0.4949861764907837
400038,992,0.0,0.48607969284057617
400038,4097,0.0,0.47463950514793396
400038,1002,0.0,0.491357684135437
400038,1003,1.0,0.49021607637405396
400038,2055,0.0,0.4823269546031952
400038,2045,0.0,0.46668657660484314
400038,2064,0.0,0.48652252554893494
400038,970,0.0,0.48911523818969727
400038,3111,0.0,0.48089706897735596
400038,3110,0.0,0.47937095165252686
400038,956,0.0,0.48535776138305664
400038,1067,0.0,0.4697149395942688
400038,986,0.0,0.47940558195114136
400038,4096,0.0,0.4757447838783264
400038,963,0.0,0.47399938106536865
400038,957,0.0,0.48592308163642883
400038,962,0.0,0.4719308614730835
400038,1041,0.0,0.47997617721557617
400038,1029,0.0,0.4836559295654297
400038,1024,0.0,0.4759282171726227
400038,3246,0.0,0.48245182633399963
400038,1005,0.0,0.4798082113265991
390746,1061,0.0,0.4736844003200531
390746,1060,0.0,0.49433431029319763
390746,1062,0.0,0.5001155734062195
390746,1059,0.0,0.4895741939544678
390746,1063,0.0,0.4831591844558716
390746,974,1.0,0.5014880895614624
390746,1018,0.0,0.5036771893501282
390746,2023,0.0,0.4709646701812744
390746,958,0.0,0.49306410551071167
390746,997,0.0,0.49434036016464233
390746,1036,0.0,0.4907304346561432
390746,973,0.0,0.4937836527824402
390746,1010,0.0,0.5055914521217346
390746,1046,0.0,0.4845812916755676
390746,3112,0.0,0.47073209285736084
390746,972,0.0,0.4903738796710968
390746,978,0.0,0.4881215989589691
390746,1051,0.0,0.4805810749530792
390746,971,0.0,0.4709896445274353
390746,1007,0.0,0.5027218461036682
390746,1001,0.0,0.4807526171207428
390746,3,0.0,0.48299911618232727
